EVTM,Name,Qualifier,Location,Locpage,zone
,F28,10-way power seat,in Central Junction Box (CJB),C1,EXP
,F28,,in Central Junction Box (CJB),C1,EXP
,F29,,in Central Junction Box (CJB),A4,EXP
,F30,automatic transmission,in Central Junction Box (CJB),,EXP
,F30,without ABS,in Central Junction Box (CJB),,EXP
,F30,with Bosch 5.3 ABS,in Central Junction Box (CJB),,EXP
,F30,Duratec-VE,in Central Junction Box (CJB),,EXP
,F30,ZETEC-VCT manual transmission,in Central Junction Box (CJB),,EXP
,F30,Power Operated Antenna,in Central Junction Box (CJB),,EXP
,F30,ZETEC-VCT automatic transmission,in Central Junction Box (CJB),,EXP
,F30,ZETEC-VCT,in Central Junction Box (CJB),,EXP
,F30,,in Central Junction Box (CJB),,EXP
,F31,Lights-ON-warning,in Central Junction Box (CJB),A4,EXP
,F31,with Bosch 5.3 ABS,in Central Junction Box (CJB),A4,EXP
,F31,Licence plate lamps,in Central Junction Box (CJB),A4,EXP
,F31,Parking Lamps,in Central Junction Box (CJB),A4,EXP
,F31,,in Central Junction Box (CJB),A4,EXP
,F32,Power Operated Antenna,in Central Junction Box (CJB),A3,EXP
,F32,,in Central Junction Box (CJB),A3,EXP
,F33,Parking Lamps,in Central Junction Box (CJB),A3,EXP
,F33,,in Central Junction Box (CJB),A3,EXP
,F34,automatic transmission,in Central Junction Box (CJB),A3,EXP
,F34,Power mirrors,in Central Junction Box (CJB),A3,EXP
,F34,with anti-theft alarm,in Central Junction Box (CJB),A3,EXP
,F34,without anti-theft alarm,in Central Junction Box (CJB),A3,EXP
,F34,Power Operated Antenna,in Central Junction Box (CJB),A3,EXP
,F34,,in Central Junction Box (CJB),A3,EXP
,F35,Parking Lamps,in Central Junction Box (CJB),A3,EXP
,F35,,in Central Junction Box (CJB),A3,EXP
,F36,,in Central Junction Box (CJB),,EXP
,F37,with Bosch 5.3 ABS,in Central Junction Box (CJB),A2,EXP
,F37,,in Central Junction Box (CJB),A2,EXP
,F38,,in Central Junction Box (CJB),A2,EXP
,FB,Duratec-VE,on starter,,EXP
,FB,ZETEC-VCT,on starter,,EXP
,FB,,on starter,,EXP
