EVTM,NAME,QUALIFIER,LOCATION,ITEMID_,SORT
EXP,S147,ZETEC-VCT manual transmission,"engine compartment, LH-side, center",,
EXP,S147,Duratec-VE automatic transmission,"engine compartment, LH-side, center",,
EXP,S147,ZETEC-VCT automatic transmission,"engine compartment, LH-side, center",,
EXP,S147,,"engine compartment, LH-side, center",,
EXP,S164,,"behind dash panel, center",,
EXP,S166,,"behind dash panel, center",,
EXP,S167,,"behind dash panel, LH-side",,
EXP,S231,Fog lamps,"behind dash panel, LH-side",,
EXP,S232,,"behind dash panel, LH-side",,
EXP,S233,,on engine bulkhead,,
EXP,S241,with illuminated vanity mirrors,"LH A-pillar, top",,
EXP,S244,automatic transmission,"behind dash panel, RH-side",,
EXP,S244,,"behind dash panel, RH-side",,
EXP,S249,with Bosch 5.3 ABS,"engine compartment, rear, center",,
EXP,S250,without ABS,"engine compartment, front, LH-side",,
EXP,S250,Overspeed warning automatic transmission,"engine compartment, front, LH-side",,
EXP,S250,speed control automatic transmission,"engine compartment, front, LH-side",,
EXP,S250,with Bosch 5.3 ABS,"engine compartment, front, LH-side",,
EXP,S250,"Data Link Connector, pins 4, 5 and 16","engine compartment, front, LH-side",,
EXP,S250,Overspeed warning manual transmission,"engine compartment, front, LH-side",,
EXP,S257,without power windows,in driver door,,
EXP,S257,with power windows,in driver door,,
EXP,S257,Power windows,in driver door,,
EXP,S257,,in driver door,,
EXP,S258,with power windows,in passenger door,,
EXP,S258,Power windows,in passenger door,,
EXP,S258,,in passenger door,,
EXP,S259,Power windows,in RH rear door,,
EXP,S259,,in RH rear door,,
EXP,S268,"manual transmission, Backup Lamps",in decklid,,
EXP,S268,"automatic transmission, Backup Lamps",in decklid,,
EXP,S268,with high mounted stop lamp on parcel shelf,in decklid,,
EXP,S268,with high mounted stop lamp in rear spoiler,in decklid,,
EXP,S268,Licence plate lamps,in decklid,,
EXP,S269,Power windows,in LH rear door,,
EXP,S269,,in LH rear door,,
EXP,S271,Duratec-VE with air conditioning ZETEC-VCT,"engine compartment, front, RH-side",,
EXP,S271,,"engine compartment, front, RH-side",,
EXP,S274,,"behind dash panel, RH-side",,
EXP,S281,"with Bosch 5.3 ABS, Data Link Connector, pins 2, 7, 10 and 13","under dash panel, LH-side",,
EXP,S281,with Bosch 5.3 ABS,"under dash panel, LH-side",,
EXP,S282,"with Bosch 5.3 ABS, Data Link Connector, pins 2, 7, 10 and 13","under dash panel, LH-side",,
EXP,S282,with Bosch 5.3 ABS,"under dash panel, LH-side",,
EXP,S283,"with Bosch 5.3 ABS, Data Link Connector, pins 2, 7, 10 and 13","under dash panel, center",,
EXP,S283,with Bosch 5.3 ABS,"under dash panel, center",,
EXP,S283,,"under dash panel, center",,
EXP,S285,Duratec-VE,"engine bulkhead, RH-side",,
EXP,S285,Duratec-VE automatic transmission,"engine bulkhead, RH-side",,
EXP,S285,ZETEC-VCT automatic transmission,"engine bulkhead, RH-side",,
EXP,S285,ZETEC-VCT,"engine bulkhead, RH-side",,
EXP,S299,,"RH A-pillar, near glove box",,
EXP,S300,,"behind dash panel, center",,
EXP,S304,with high mounted stop lamp on parcel shelf,"behind luggage compartment lining, rear, LH-side",,
EXP,S304,with high mounted stop lamp in rear spoiler,"behind luggage compartment lining, rear, LH-side",,
EXP,S304,Power Operated Antenna,"behind luggage compartment lining, rear",,
EXP,S304,,"behind luggage compartment lining, rear, LH-side",,
EXP,S308,without ABS,on steering column,,
EXP,S308,with Bosch 5.3 ABS,on steering column,,
EXP,S308,,on steering column,,
EXP,S310,,engine bulkhead,,
EXP,S314,With anti-theft/central locking module,under center console,,
EXP,S314,Without anti-theft/central locking module,under center console,,
EXP,S314,,under center console,,
EXP,S315,higher option content without anti-theft/central locking module,RH A-pillar,,
EXP,S315,lower option content without anti-theft/central locking module,RH A-pillar,,
EXP,S315,higher option content with anti-theft/central locking module,RH A-pillar,,
EXP,S315,lower option content with anti-theft/central locking module,RH A-pillar,,
EXP,S317,higher option content without anti-theft/central locking module,"RH A-pillar, bottom",,
EXP,S317,lower option content without anti-theft/central locking module,"RH A-pillar, bottom",,
EXP,S317,higher option content with anti-theft/central locking module,"RH A-pillar, bottom",,
