EVTM,NAME,QUALIFIER,PARTNO,LOCATION,CONN_NAME,LOCPAGE,ZONE,CONN_CELL,CONN_PAGE,HCCF_CELL,HCCF_PAGE,ITEMID_,FREQUENCY
EVC,Drivers Door Disarm Switch,,22050,"In rear corner of LH front door, part of lock assembly",C504,14,C1,,,,,,
EVC,Drivers Door Module (DDM),,13C791,Top front area of drivers door,C455,14,A3,,,57,3,,
EVC,Drivers Door Module (DDM),,13C791,Top front area of drivers door,C456,14,A3,,,57,3,,
EVC,Drivers Door Module (DDM),,13C791,Top front area of drivers door,C457,14,A3,,,,,,
EVC,Drivers Power Window Switch,,14529,Center of left door,C521,16,E1,,,100,3,,
EVC,Drivers Power Window Switch,,14529,Center of left door,C522,16,E1,,,100,3,,
EVC,Drivers Seat Belt Switch,,61203,Part of drivers seat belt buckle assembly,C316,11,A3,,,,,,
EVC,Drivers Seat Memory Switch,,NA,Center of LH front door,C515,15,C1,,,123,14,,
EVC,Drivers Seat Module (DSM),,NA,Under LH front seat,C311,11,F8,,,123,9,,
EVC,Drivers Seat Module (DSM),,NA,Under LH front seat,C350,11,F8,,,123,11,,
EVC,Drivers Seat Module (DSM),,NA,Under LH front seat,C355,11,F8,,,123,12,,
EVC,Drivers Seat Module (DSM),,NA,Under LH front seat,C362,11,F8,,,,,,
EVC,Dual Note Horns,,13832,Rear of front bumper,C135,3,F4,,,,,,
EVC,EGR Vacuum Regulator Solenoid,,9J459,LH rear side of engine,C153,2,F6,,,,,,
EVC,Electric Air Management (EAM) Pump Motor,,NA,LH side of engine compartment,C1013,3,D10,,,,,,
EVC,Electric Air Management (EAM) Relay,,NA,LH side of engine compartment,C140,3,C10,,,,,,
EVC,Electric Air Management (EAM) Solenoid,,NA,LH side of engine compartment,C115,3,A5,,,,,,
EVC,Electric Cooling Fan,,8C607,Center front of engine compartment,C102,4,C1,,,,,,
EVC,Electronic Automatic Temperature Control (EATC) Module,,18C612,"In center of I/P, below radio",C272,6,A1,,,55,4,,
EVC,Electronic Automatic Temperature Control (EATC) Module,,18C612,"In center of I/P, below radio",C273,6,A1,,,55,5,,
EVC,Electronic Day/Night Mirror,,17700,Center of windshield header,C901,16,F4,,,125,2,,
EVC,Engine Compartment Fuse Box,,NA,LH side of engine compartment,,4,B9,,,,,,
EVC,Engine Coolant Level Sensor,,10D968,"LH side of engine compartment, on coolant reservoir",C101,5,A9,,,,,,
EVC,Engine Coolant Temperature (ECT) Sensor,,12A648,Lower front of engine,C173,1,A3,,,,,,
EVC,Engine Oil Pressure Switch,,NA,Lower LH front of engine,C192,2,F2,,,,,,
EVC,Engine Oil Temperature and Low Engine Oil Level Sensor,,6C644,Lower LH rear of engine,C124,4,A5,,,,,,
EVC,EVAC/Fill Connector,,NA,"LH of engine compartment, near washer fluid reservoir",C1030,3,E10,,,42,5,,
EVC,Evaporative Emission (EVAP) Canister Purge Solenoid,,9C987,RH rear of engine compartment,C137,3,A4,,,,,,
EVC,EVO Actuator,,3783,Lower LH front of engine compartment,C132,1,F2,,,,,,
EVC,Front Position Sensor,,NA,Below LH front seat,C323,11,B10,,,,,,
EVC,Fuel Filler Door Release Solenoid,,28610,Lower RH rear of trunk,C412,14,B10,,,,,,
EVC,Fuel Filler Door Release Switch,,9B242,Center of LH front door,C513,14,B1,,,,,,
EVC,Fuel Injector #1,,13250,Top of each cylinder #1,C144,2,A6,,,,,,
EVC,Fuel Injector #2,,13250,Top of each cylinder #2,C149,2,A7,,,,,,
EVC,Fuel Injector #3,,13250,Top of each cylinder #3,C146,2,A8,,,,,,
EVC,Fuel Injector #4,,13250,Top of each cylinder #4,C145,2,A9,,,,,,
EVC,Fuel Injector #5,,13250,Top of each cylinder #5,C143,2,A1,,,,,,
EVC,Fuel Injector #6,,13250,Top of each cylinder #6,C152,2,B1,,,,,,
EVC,Fuel Injector #7,,13250,Top of each cylinder #7,C147,2,C1,,,,,,
EVC,Fuel Injector #8,,13250,Top of each cylinder #8,C148,2,D1,,,,,,
EVC,Fuel Pump Driver Module,,NA,Top front RH side of trunk,C310,17,B10,,,23,17,,
EVC,Fuel Pump Relay,,NA,"LH side of engine compartment, in engine compartment fuse box",C125,4,B9,,,23,16,,
EVC,Fuel Pump/Fuel Gauge Sender,,9275,"Below rear of car, in top of fuel tank",C410,17,F3,,,,,,
EVC,Fuel Tank Pressure Transducer (FTPT),,NA,"Below rear of car, in top of fuel tank",C411,17,F3,,,,,,
EVC,Fuse Link A,,14526,"LH side of engine compartment, on engine compartment fuse box",,,,,,,,,
EVC,Fuse Link B,,14526,"LH side of engine compartment, on engine compartment fuse box",,,,,,,,,
EVC,Fuse Link C,,14526,"LH side of engine compartment, on engine compartment fuse box",,,,,,,,,
EVC,Generator/Voltage Regulator,,10346,Center front of engine,C154,1,A2,,,,,,
EVC,Glove Box Lamp,,15A563,"Behind RH side of I/P, above glove box",C281,7,A4,,,,,,
EVC,Heater Blower Motor,,NA,Below RH side of I/P,C265,,,,,,,,
EVC,Hi Beam Relay,,NA,"LH side of engine compartment, in engine compartment fuse box",C1019,4,B9,,,87,5,,
EVC,Hi Mount Stop Lamps,,13A613,Top center of rear package tray,C346,15,A8,,,,,,
EVC,Hi Mount Stop Lamps,,13A613,Top center of rear package tray,C347,15,A8,,,,,,
EVC,Hidden Antenna Module,,NA,Below left side of rear window,C405,17,A5,,,,,,
