EVTM,NAME,QUALIFIER,PARTNO,LOCATION,CONN_NAME,LOCPAGE,ZONE,CONN_CELL,CONN_PAGE,HCCF_CELL,HCCF_PAGE,ITEMID_,FREQUENCY
EXm,Coil On Plug (COP) #3,5.4L,NA,"Right bank of engine, above #3 cylinder",C182,7,E10,,,,,,
EXm,Coil On Plug (COP) #3,6.8L,NA,"Right bank of engine, above #3 cylinder",C182,9,A7,,,,,,
EXm,Coil On Plug (COP) #4,5.4L,NA,"Right bank of engine, above #4 cylinder",C181,7,E10,,,,,,
EXm,Coil On Plug (COP) #4,6.8L,NA,"Right bank of engine, above #4 cylinder",C181,9,A6,,,,,,
EXm,Coil On Plug (COP) #5,5.4L,NA,"Left bank of engine, above #5 cylinder",C176,6,F8,,,,,,
EXm,Coil On Plug (COP) #5,6.8L,NA,"Right bank of engine, above #5 cylinder",C176,9,A5,,,,,,
EXm,Coil On Plug (COP) #6,5.4L,NA,"Left bank of engine, above #6 cylinder",C177,6,E10,,,,,,
EXm,Coil On Plug (COP) #6,6.8L,NA,"Left bank of engine, above #6 cylinder",C177,8,C1,,,,,,
EXm,Coil On Plug (COP) #7,5.4L,NA,"Left bank of engine, above #7 cylinder",C178,6,A9,,,,,,
EXm,Coil On Plug (COP) #7,6.8L,NA,"Left bank of engine, above #7 cylinder",C178,8,A5,,,,,,
EXm,Coil On Plug (COP) #8,5.4L,NA,"Left bank of engine, above #8 cylinder",C179,6,A10,,,,,,
EXm,Coil On Plug (COP) #8,6.8L,NA,"Left bank of engine, above #8 cylinder",C179,8,A8,,,,,,
EXm,Coil On Plug (COP) #9,6.8L,NA,"Left bank of engine, above #9 cylinder",C187,8,A9,,,,,,
EXm,Cold Start Heater,,NA,On compuvalve,C4021,,,,,,,,
EXm,Cold Start Heater Diode,,NA,Right rear of body compartment,,,,,,,,,
EXm,Cold Start Heater Relay,,NA,Right rear of body compartment,C4060,24,B1,,,,,,
EXm,Compuvalve Module,,NA,Left rear of engine compartment,C4025,24,E1,,,22,19,,
EXm,Compuvalve Module Shield,,NA,In engine compartment near compuvalve,,,,,,,,,
EXm,Crankshaft Position (CKP) Sensor,4.2L,NA,Lower right front of engine,C141,2,E1,,,,,,
EXm,Crankshaft Position (CKP) Sensor,4.6L,NA,Lower right front of engine,C141,4,F3,,,,,,
EXm,Crankshaft Position (CKP) Sensor,5.4L,NA,Lower center front of engine,C141,6,F3,,,,,,
EXm,Crankshaft Position (CKP) Sensor,6.8L,NA,Lower right front of engine,C141,8,D1,,,,,,
EXm,Crankshaft Position (CKP) Sensor Shield,,NA,"In wiring harness, between crankshaft position (CKP) sensor and PCM",,,,,,,,,
EXm,Cylinder Head Temperature (CHT) Sensor,4.2L,NA,"Left rear of engine, on heater outlet elbow",C172,3,E1,,,,,,
EXm,Cylinder Head Temperature (CHT) Sensor,4.6L,NA,"Left rear of engine, on heater outlet elbow",C172,4,F9,,,,,,
EXm,Cylinder Head Temperature (CHT) Sensor,5.4L,NA,"Left rear of engine, on heater outlet elbow",C172,6,C1,,,,,,
EXm,Cylinder Head Temperature (CHT) Sensor,6.8L,NA,"Left rear of engine, on heater outlet elbow",C172,8,A3,,,,,,
EXm,Dash Reset Relay,,NA,Right rear of engine compartment,C4204,,,22,18,,,,
EXm,Data Link Connector (DLC),,NA,Below LH side of I/P,C241,14,F6,14,2,14,2,,
EXm,Daytime Running Lamps (DRL) Module,,NA,"RH front of engine, near horns",C193,10,F5,97,3,97,3,,
EXm,Deactivator Switch,,NA,"LH side of engine compartment, bottom of brake master cylinder",C151,11,F7,,,,,,
EXm,Delta Pressure Feedback EGR (DPFE) Sensor,4.2L,NA,"Top right front of engine, on DPFE sensor",C118,,,,,,,,
EXm,Delta Pressure Feedback EGR (DPFE) Sensor,4.6L,NA,Top left rear of engine,C118,5,A2,,,,,,
EXm,Delta Pressure Feedback EGR (DPFE) Sensor,5.4L,NA,Top RH side of engine,C118,6,A8,,,,,,
EXm,Delta Pressure Feedback EGR (DPFE) Sensor,6.8L,NA,Left rear top engine,C118,8,A7,,,,,,
EXm,Digital Transmission Range (DTR) Sensor,4R100,7F293,LH side of transmission,C115,20,F2,30,8,30,8,,
EXm,Digital Transmission Range (DTR) Sensor,4R70W,7F293,LH side of transmission,C115,20,F2,29,5,29,5,,
EXm,Driver Air Bag,,NA,Top of steering column,C255,,,,,,,,
EXm,Driver Safety Belt,,NA,Right side of driver seat,C341,21,F3,,,,,,
EXm,Driver Seat Motor Assembly,,NA,Underside of driver seat,C338,21,A5,120,2,120,2,,
EXm,Driver Seat Regulator Control Switch,,14C715,On left side of driver seat,C337,21,C10,120,2,120,2,,
EXm,Dual Brake Warning Switch,,NA,"LH side of engine compartment, bottom of brake master cylinder",C149,10,C10,,,,,,
EXm,EGR Solenoid,4.2L,9J459,Above center of right valve cover,C125,3,F9,,,,,,
EXm,EGR Solenoid,4.6L,9J459,"Above LH valve cover, on bracket",C125,5,A3,,,,,,
EXm,EGR Solenoid,5.4L,9J459,"Above left rear of engine, on bracket",C125,7,A3,,,,,,
EXm,EGR Solenoid,6.8L,9J459,Top left rear of engine,C125,9,A3,,,,,,
EXm,Electric Intake Manifold Runner Control,,NA,Rear of intake,C124,3,B1,,,,,,
EXm,Electronic Brake,,NA,Below LH side of I/P,,,,,,,,,
EXm,Electronic Crash Sensor (ECS) Module,,14B056,"Below RH side of I/P, on electronic crash sensor (ecs) module",C200,12,C10,,,,,,
EXm,Electronic Flasher,,13350,"Behind LH side of I/P, on electronic flasher",C239,14,F2,,,,,,
EXm,Engine Compartment Battery,,NA,RH front of engine compartment,,,,,,,,,
EXm,Engine Coolant Temperature (ECT) Sender,,10884,Lower left front of engine,C1004,1,F6,,,,,,
EXm,Engine Oil Pressure Switch,4.2L,9278,"Left front of engine, below A/C compressor",C138,2,F3,,,,,,
EXm,Engine Oil Pressure Switch,4.6L,9278,Lower left front of engine,C138,4,F6,,,,,,
EXm,Engine Oil Pressure Switch,5.4L,9278,Lower left front of engine,C138,6,F5,,,,,,
EXm,Engine Oil Pressure Switch,6.8L,9278,Lower left front of engine,C138,8,F3,,,,,,
EXm,Engine Oil Pressure Switch,7.3L,9278,Top right center of engine,C138,1,E1,,,,,,
EXm,Engine Oil Temperature (EOT) Sensor,,NA,Center LH side of engine,C1007,1,F8,,,,,,
EXm,EVAP Canister Purge Valve,4.2L,NA,Center rear of engine compartment,C126,3,F4,,,,,,
EXm,EVAP Canister Purge Valve,4.6L,NA,Center rear of engine compartment,C126,5,D1,,,,,,
EXm,EVAP Canister Purge Valve,5.4L,NA,Center rear of engine compartment,C126,7,A5,,,,,,
EXm,EVAP Canister Purge Valve,6.8L,NA,Center rear of engine compartment,C126,9,F6,,,,,,
EXm,Exhaust Back Pressure (EBP) Sensor,,NA,Top center of engine,C1008,1,F3,,,,,,
EXm,Exhaust Pressure Regulator (EPR),,NA,Top LH rear of engine,C1011,1,A6,,,,,,
