EVTM,NAME,QUALIFIER,PARTNO,LOCATION,CONN_NAME,LOCPAGE,ZONE,CONN_CELL,CONN_PAGE,HCCF_CELL,HCCF_PAGE,ITEMID_,FREQUENCY
EXG,Electronic Automatic Temperature Control (EATC) Module,,19980,Center of I/P,C227,6,F7,,,55,6,,
EXG,Electronic Automatic Temperature Control (EATC) Module,,19980,Center of I/P,C281,6,F7,,,55,6,,
EXG,Electronic Day/Night Mirror,,17700,Center of windshield header,C902,11,A1,,,125,2,,
EXG,Engine Oil Pressure Switch,,9278,"Lower LF side of engine, above oil filter",C1014,3,F8,,,,,,
EXG,EVAC and Fill Connector,,NA,"LF side of engine compartment, on top of wheel well",C133,1,C10,,,42,4,,
EXG,EVAP Canister Purge Solenoid,,NA,"RR of engine, near fuel injector #4",C173,3,A4,,,,,,
EXG,EVAP Canister Vent Solenoid,,NA,Under center of truck,C440,,,,,,,,
EXG,EVO Actuator,,3783,"Lower LF side of engine compartment, on power steering assembly",C184,3,F9,,,,,,
EXG,Exterior Rear View Mirror Switch,,17B676,"Center of LF door, on armrest",C550,10,E1,,,124,10,,
EXG,Front Crash Sensor,,NA,Center front of engine compartment,C186,1,F6,,,,,,
EXG,Front Interior/Map Lamp and Switch,,13776,Center front of headliner,C907,,,,,89,4,,
EXG,Front Radio Control Unit,,18805,Center of I/P,C257,6,A5,,,130,7,,
EXG,Front Radio Control Unit,,18805,Center of I/P,C258,6,A5,,,130,7,,
EXG,Front Radio Control Unit,,18805,Center of I/P,C259,6,A5,,,130,8,,
EXG,Fuel Filler Door Release Solenoid,,28610,"LF side of luggage compartment, near fuel door",C463,10,F5,,,,,,
EXG,Fuel Filler Door Release Switch,,9B242,"In LF door, near ""A"" pillar",C515,11,E1,,,,,,
EXG,Fuel Injector #1,,9F593,Top of cylinder #1,C190,3,A5,,,,,,
EXG,Fuel Injector #2,,9F593,Top of cylinder #2,C191,3,A5,,,,,,
EXG,Fuel Injector #3,,9F593,Top of cylinder #3,C192,3,A5,,,,,,
EXG,Fuel Injector #4,,9F593,Top of cylinder #4,C193,3,A5,,,,,,
EXG,Fuel Injector #5,,9F593,Top of cylinder #5,C194,3,A5,,,,,,
EXG,Fuel Injector #6,,9F593,Top of cylinder #6,C195,3,A5,,,,,,
EXG,Fuel Injector #7,,9F593,Top of cylinder #7,C196,3,A5,,,,,,
EXG,Fuel Injector #8,,9F593,Top of cylinder #8,C197,3,A5,,,,,,
EXG,Fuel Tank Assembly,,9H307,"Below rear of vehicle, on rear of fuel tank",C464,10,F9,,,23,10,,
EXG,Fuel Pump Relay,,NA,In battery junction box,,,,,,,,,
EXG,Fuse Link A,,14526,At battery junction box,,,,,,,,,
EXG,Fuse Link B,,14526,At battery junction box,,,,,,,,,
EXG,Fuse Junction Panel,,14401,"Behind I/P, left of steering column",C267,6,B10,,,,,,
EXG,Generator,,10300,Top rear of engine,C117,1,B10,,,,,,
EXG,Generator,,10300,Top rear of engine,C154,1,B10,,,,,,
EXG,Glove Box Lamp,,14413,In top of glove box,C2016,6,B1,,,,,,
EXG,Handset,,NA,Between front seats,C331,,,,,135,2,,
EXG,High Mounted Stoplamp,,13A613,On center of rear package tray,C316,,,,,,,,
EXG,High Mounted Stoplamp,,13A613,On center of rear package tray,C317,,,,,,,,
EXG,Horn Assembly,,13A803,LF of engine compartment,C1001,1,F7,,,,,,
EXG,Horn Relay,,NA,In relay box,,,,,,,,,
EXG,I/P Cigar Lighter,,15055,Center of I/P,C2013,7,F5,,,,,,
EXG,I/P Cigar Lighter,,15055,Center of I/P,C2018,7,F5,,,,,,
EXG,I/P Cigar Lighter Lamp,,13466,Center of I/P,C2014,7,F4,,,,,,
EXG,Idle Air Control (IAC) Valve,,9F715,"Center rear of engine, near LF side of intake manifold",C1003,2,F7,,,,,,
EXG,Ignition Switch,,11572,RF side of steering column,C292,6,A9,,,13,20,,
EXG,In-car Temperature Sensor,,19C734,Behind top center of I/P,C293,7,A7,,,,,,
EXG,Inertia Fuel Shut-off Switch,,9341,LR of vehicle,C432,9,A5,,,,,,
EXG,Instrument Cluster,,10849,Top LF side of I/P,C254,7,E10,,,63,5,,
EXG,Instrument Cluster,,10849,Top LF side of I/P,C255,7,E10,,,63,5,,
EXG,Intake Air Temperature (IAT) Sensor,,12A697,"LF of engine compartment, on rear of air cleaner assembly",C157,2,C10,,,,,,
EXG,Isolator/Radio Antenna Module,,18850,Center of package tray,C460,,,,,,,,
EXG,Junction Point,,NA,RF side of engine compartment,,3,B1,,,,,,
EXG,Keypad Switch Assembly,,NA,In left front door,C525,,,,,111,5,,
EXG,Key Warning Switch,,NA,In steering column,,,,,,,,,
EXG,Knock Sensor (KS),,NA,Left rear of engine,C106,1,A8,,,,,,
EXG,Knock Sensor (KS) Shield,,NA,"In engine control harness, near knock sensor",,,,,,,,,
EXG,Left Cornering Lamp,,15A201,LF side of vehicle,C1024,3,E10,,,,,,
EXG,Left Headlamp,,13005,LF corner of vehicle,C1030,2,F9,,,,,,
EXG,Left Heated Oxygen Sensor (HO2S),,9F472,"Lower LR of engine, in exhaust manifold",C1006,1,A6,,,,,,
EXG,Left Exterior Rear View Mirror,w/o Electronic Day/Night Mirror,17682,Top front of LF door,C508,9,A2,,,124,6,,
EXG,Left Exterior Rear View Mirror,w/Electronic Day/Night Mirror,17682,Top front of LF door,C508,9,A2,,,124,7,,
EXG,Left Exterior Rear View Mirror,w/Memory Mirrors,17682,Top front of LF door,C508,9,A2,,,124,8,,
EXG,Left Exterior Rear View Mirror,w/Memory Mirrors,17682,Top front of LF door,C523,9,A2,,,124,8,,
EXG,Left Reversing Lamp,,13405,Left rear of vehicle,C484,9,F9,,,,,,
EXG,Left Side Lamp,,15A201,LF corner of vehicle,C1028,3,D10,,,,,,
EXG,LF Brake Sensor,,2C204,In LF brake assembly,C171,1,C10,,,,,,
EXG,LF Courtesy Lamp,,13466,"Below LF side of I/P, near cowl",C2007,6,C10,,,,,,
EXG,LF Door Ajar Switch,,14018,"In top rear of LF door, part of latch assembly",C500,9,C1,,,,,,
EXG,LF Door Ajar Switch,,14018,"In top rear of LF door, part of latch assembly",C504,9,C1,,,,,,
EXG,LF Door Courtesy Lamp,,NA,In LF front door,C512,11,F2,,,,,,
EXG,LF Door Lock Actuator,,218A42,In rear of LF door,C502,9,D1,,,,,,
EXG,LF Door Lock Switch,,14529,"Center of LF door, on arm rest",C503,10,D1,,,111,4,,
EXG,LF Door Module,,NA,"In LF door, by ""A"" pillar",C520,11,F3,,,57,3,,
EXG,LF Door Module,,NA,"In LF door, by ""A"" pillar",C521,11,F3,,,57,3,,
EXG,LF Door Module,,NA,"In LF door, by ""A"" pillar",C522,11,F3,,,57,4,,
EXG,LF Door Speaker,,18808,In upper front of LF door,C513,10,F2,,,,,,
EXG,LF Park/Turn Lamp,,13201,LF side of vehicle,C1026,1,F8,,,,,,
EXG,LF Power Lumbar Motor,,65530,Under front of LF seat,C303,8,E1,,,,,,
EXG,LF Power Lumbar Switch,,14C715,On LF side of LF seat,C319,8,E1,,,122,2,,
EXG,LF Seat Control Switch,w/Memory,14A701,In center of drivers door,C509,,,,,123,6,,
EXG,LF Seat Control Switch,Base,NA,On LH side of LH front seat assembly,C300,,,,,120,4,,
EXG,LF Seat Heater Module,,NA,"Under LF seat, right side of seat",C347,8,F3,,,119,4,,
EXG,LF Seat Heater Switch/Pullcup Lamp,,NA,"Behind LF door, on LF heater switch",C524,,,,,119,3,,
EXG,LF Seat Heating Element,,NA,"Under LF seat, LR of seat",C345,8,D9,,,,,,
EXG,LF Seat Heating Element,,NA,"Under LF seat, LR of seat",C346,8,D9,,,,,,
EXG,LF Seat Module,,NA,"Under LF seat, on RF side",C313,8,C10,,,123,4,,
EXG,LF Seat Module,,NA,"Under LF seat, on RF side",C338,8,C10,,,123,5,,
EXG,LF Seat Module,,NA,"Under LF seat, on RF side",C337,8,C10,,,123,5,,
EXG,LF Seat Motor Assembly,w/o Memory Seats,61704,Under LF seat,C332,8,F4,,,,,,
EXG,LF Seat Motor Assembly,w/Memory Seats,61704,Under LF seat,C332,8,F4,,,,,,
EXG,LF Seat Motor Assembly,w/Memory Seats,61704,Under LF seat,C334,8,F4,,,,,,
EXG,LF Seat Motor Assembly,w/Memory Seats,61704,Under LF seat,C335,8,F4,,,,,,
EXG,LF Seat Motor Assembly,w/Memory Seats,61704,Under LF seat,C336,8,F4,,,,,,
EXG,LF Seat Recliner Motor/Sensor,,619A75,Under LF seat,C307,8,E9,,,,,,
EXG,LF Seat Recliner Motor/Sensor,,619A75,Under LF seat,C341,8,E9,,,,,,
EXG,LF Vanity Mirror Lamp and Switch,,04104,On LF side of windshield header,C909,,,,,,,,
EXG,LF Window Motor,,23394,In front of LF door,C510,9,B1,,,,,,
EXG,License Lamp,,13550,"Rear of vehicle, near license plate",C486,9,E10,,,,,,
EXG,Lighting Control Module (LCM),,NA,Behind center of I/P,C200,7,F6,,,58,4,,
EXG,Lighting Control Module (LCM),,NA,Behind center of I/P,C220,7,F6,,,58,4,,
EXG,Lighting Control Module (LCM),,NA,Behind center of I/P,C221,7,F6,,,58,5,,
EXG,Lighting Control Module (LCM),,NA,Behind center of I/P,C222,7,F6,,,58,5,,
EXG,Linear Height Sensor,,5359,"Below LR of vehicle, attached to rear upper control arm",C468,9,F8,,,,,,
EXG,LR Air Spring Solenoid,,5311,"Below LR of vehicle, top of air spring",C492,9,F7,,,,,,
EXG,LR Brake Sensor,,2C190,In RR brake assembly,C461,10,F4,,,,,,
EXG,LR Door Ajar Switch,,14018,"In top rear of LR door, on rear of latch assembly",C700,9,F2,,,,,,
EXG,LR Door Ajar Switch,,14018,"In top rear of LR door, on rear of latch assembly",C703,9,F2,,,,,,
EXG,LR Door Courtesy Lamp,,NA,In LR door,C704,9,F5,,,,,,
EXG,LR Door Lock Actuator,,26594,In rear of LR door,C702,9,F3,,,,,,
EXG,LR Heated Oxygen Sensor (HO2S),,NA,LR of transmission,C124,4,D10,,,,,,
EXG,LR Interior Reading Lamp and Switch,,NA,LR of headliner,C917,,,,,,,,
EXG,LR Park/Stop/Turn Lamp,,13405,Left rear of vehicle,C480,10,F8,,,,,,
EXG,LR Park/Stop/Turn Lamp,,13405,Left rear of vehicle,C482,10,F8,,,,,,
EXG,LR Speaker,,18808,Under LF side of rear package tray,C488,10,A2,,,,,,
EXG,LR Window Control Switch,,14529,"Center of LR door, on armrest",C706,9,E1,,,100,5,,
EXG,LR Window Motor,,27144,In front of LR door,C710,9,F4,,,,,,
EXG,Luggage Compartment Lid Lamp,,13A756,Center rear of luggage compartment lid,C479,9,F6,,,,,,
EXG,Luggage Compartment Lid Lamp Switch,,NA,Center rear of luggage compartment,C465,11,F7,,,,,,
EXG,Luggage Compartment Lid Release Switch,,19B514,Lower front of LF door,C516,11,B1,,,,,,
EXG,Luggage Compartment Lid Release Solenoid/Ajar Switch,,NA,Center rear of luggage compartment lid,C455,11,E10,,,,,,
EXG,Main Light Switch,,11654,"LR side of I/P, near LF side of air vent",C234,6,B10,,,58,6,,
EXG,Main Light Switch,,11654,"LR side of I/P, near LF side of air vent",C235,6,B10,,,58,6,,
EXG,Mass Air Flow (MAF) Sensor,,12B579,"LF of engine compartment, near air cleaner",C1012,2,D10,,,23,11,,
EXG,Master Window Control Switch,,14529,"Center of LF door, on armrest",C506,10,B1,,,100,4,,
EXG,Master Window Control Switch,,14529,"Center of LF door, on armrest",C511,10,B1,,,100,4,,
EXG,Message Center Switch Module,,10D996,"Top LF side of I/P, RF side of instrument cluster",C264,6,A7,,,63,6,,
EXG,Microphone,,NA,Near T/O C236 air bag sliding contact,C233,7,E10,,,,,,
EXG,Multifunction Switch,,13K359,Top LF side of steering column,C268,6,A8,,,90,5,,
EXG,Multifunction Switch,,13K359,Top LF side of steering column,C269,6,A8,,,90,5,,
EXG,Output Shaft Speed (OSS) Sensor,,7H103,Top LF side of transmission,C118,4,D10,,,,,,
EXG,Park Brake Switch,,15A851,"Behind LF side of I/P, top of park brake assembly",C296,6,F9,,,,,,
EXG,Passenger Air Bag,,044A74,RF side of I/P,C2010,6,A4,,,,,,
EXG,Passenger Side Air Bag,,044A64,In right front seat back,C350,,,,,,,,
EXG,Passenger Side Air Bag Crash Sensor,,14A464,Under right front seat,C310,,,,,,,,
EXG,Passive Anti-Theft System (PATS) Transceiver Module,,NA,"In 14401, near T/O C236 air bag sliding contact",C209,7,A9,,,112,2,,
EXG,PCM Diode,,NA,In battery junction box,,,,,,,,,
EXG,PCM Power Relay,,NA,In battery junction box,,,,,,,,,
EXG,Power Mirror Switch,,NA,In battery junction box,,,,,,,,,
EXG,Power Window Relay,Executive,NA,In fuse junction panel,,,,,,,,,
