EVTM,NAME,QUALIFIER,LOCATION,ITEMID_,SORT
"ETA","S297",,"In 14401, in T/O to C2021 data link connector",,
"ETA","S298",,"In 14405, near T/O to C223 and C206 inlines",,
"ETA","S299",,"In 14401, near T/O to C250 instrument cluster",,
"ETA","S300",,"In 14A005, near T/O to C213 air bag diagnostic connector",,
"ETA","S304",,"In 14699, near T/O to C304 seat belt buckle switch",,
"ETA","S310",,"In 14A699, near T/O to C309 recliner position sensor",,
"ETA","S311",,"In 14B719, near T/O to C319 drivers seat module",,
"ETA","S312",,"In 14B719, near T/O to C325 drivers power seat motor",,
"ETA","S313",,"In 14A005, in T/O to C303 Drivers seat module",,
"ETA","S314",,"In 14B719, near T/O to C319 drivers seat module",,
"ETA","S315",,"In 14B719, near T/O to C319 drivers seat module",,
"ETA","S400",,"In 13410, near T/O to C495 left rear running lamp",,
"ETA","S401",,"In 13407, near T/O to C496 right rear running lamp",,
"ETA","S402",,"In 14405, near T/O to C463 fuel filler door release solenoid",,
"ETA","S403",,"In 14A227, near T/O to C487 right license lamp",,
"ETA","S404",,"In 14405, near T/O to inline C403M",,
"ETA","S405",,"In 14407, in T/O to C417 fuel tank valve #4",,
"ETA","S406",,"In 14A411, in T/O to inline C457F",,
"ETA","S407",,"In 14A005, near T/O to C489 right rear speaker",,
"ETA","S411",,"In 14A005, near T/O to C489 right rear speaker",,
"ETA","S412",,"In 14A549, near T/O to C477 trunk lid switch",,
"ETA","S413",,"In 13410, in T/O to inline C405F",,
"ETA","S414",,"In 13407, in T/O to inline C406F",,
"ETA","S415",,"In 13407, in T/O to inline C405F",,
"ETA","S416",,"In 13407, in T/O to inline C406F",,
"ETA","S417",,"In 14A005, near T/O to ground G402",,
"ETA","S418",,"In 14405, near T/O to C471 trailer tow relays",,
"ETA","S419",,"In 14405, near T/O to G400",,
"ETA","S421",,"In 14A549, near T/O to C487 right license lamp",,
"ETA","S425",,"In 14405, near T/O to inline C403M",,
"ETA","S426",,"In 14405, near T/O to C471 relay center",,
"ETA","S427",,"In 14407, in T/O to C417 fuel assembly #4 valve",,
"ETA","S428",,"In 14406, near T/O to C415 fuel assembly #2 valve",,
"ETA","S429",,"In 14406, in T/O to inline C421F",,
"ETA","S430",,"In 14405, near T/O to inline C421M",,
"ETA","S431",,"In 14A005, near T/O to C489 right rear speaker",,
"ETA","S432",,"In 14A227, in T/O to inline C408F",,
"ETA","S435",,"In 14A005, near T/O to C489 right rear door speaker",,
"ETA","S436",,"In 14A005, near T/O to C489 right rear door speaker",,
"ETA","S437",,"In 14A005, in T/O to C488 left rear speaker",,
"ETA","S438",,"In 14A005, in T/O to C488 left rear speaker",,
"ETA","S500",,"In 14A005, near T/O to C516 drivers seat control switch",,
