EVTM,NAME,QUALIFIER,LOCATION,ITEMID_,SORT
EX1,S220,,"Body main harness, near T/O to park brake switch",,
EX1,S221,,"Main harness, near T/O to C243",,
EX1,S222,,"Main harness, near T/O to instrument cluster",,
EX1,S223,,"Main harness, near T/O to instrument cluster",,
EX1,S224,,"Main harness, near T/O to instrument cluster",,
EX1,S225,,"Main harness, near T/O to instrument cluster",,
EX1,S227,,"Main harness, in T/O to clutch pedal position (CPP) switch",,
EX1,S228,,"Main harness, in T/O to central junction box",,
EX1,S229,,"Main harness, near T/O to instrument cluster",,
EX1,S231,,"Main harness, near T/O to instrument cluster",,
EX1,S232,,"Main harness, near T/O to instrument cluster",,
EX1,S233,,"Main harness, in T/O to C225",,
EX1,S234,,"Body main harness, near T/O to remote anti-theft personality (RAP) module",,
EX1,S235,,"Body main harness, near T/O to remote anti-theft personality (RAP) module",,
EX1,S236,,"Main harness, near T/O to instrument cluster",,
EX1,S237,,"Main harness, near T/O to C243",,
EX1,S238,,"Main harness, in T/O to C239 generic electronic module (GEM)",,
EX1,S239,,"Body main harness, near T/O to C206M",,
EX1,S240,,"Main harness, near T/O to ashtray illumination",,
EX1,S241,,"Main harness, near T/O to passenger air bag",,
EX1,S242,,"Main harness, near T/O to clutch pedal position (CPP) switch",,
EX1,S243,,"Body main harness, near T/O to C206M",,
EX1,S244,,"Main harness, near T/O to main light switch",,
EX1,S245,,"Main harness, near T/O to passenger air bag",,
EX1,S246,,"Main harness, near T/O to in-line C159F",,
EX1,S247,,"Main harness, near T/O to in-line C159F",,
EX1,S248,,"Body main harness, near T/O to park brake switch",,
EX1,S251,,"Body main harness, near T/O to C206M",,
EX1,S252,,"Main harness, in T/O to C265F",,
EX1,S253,,"Radio amplifier harness, near T/O to C265",,
EX1,S254,,"Radio amplifier harness, near T/O to CD changer",,
EX1,S265,,"Main harness, near T/O to C242",,
EX1,S268,,"Main harness, near T/O to C240 generic electronic module (GEM)",,
EX1,S289,,"Main harness, near T/O to in-line C270F",,
EX1,S291,,"Main harness, near T/O to rear anti-lock brake system (RABS) module",,
EX1,S294,,"Main harness, near T/O to RABS data link connector",,
EX1,S297,,"Main harness, near T/O to instrument cluster",,
EX1,S300,,"Safety belt retractor switch right harness, near T/O to interior lamp",,
EX1,S301,,"Fuel tank sender harness, near T/O to fuel tank solenoid valve #2",,
EX1,S302,,"Fuel tank sender harness, near T/O to fuel tank solenoid valve #2",,
EX1,S303,,"Fuel tank sender harness, near T/O to C316",,
EX1,S304,,"Safety belt retractor switch harness, near T/O to right rear speaker",,
EX1,S400,,"Rear lamp harness, near T/O to fuel pump assembly",,
EX1,S4000,,"VCL/Sensor harness, near T/O to C4008F",,
EX1,S4001,,"VCL/Sensor harness, near T/O to C4203F",,
EX1,S4003,,"VCL/Sensor harness, near T/O to C4200F",,
EX1,S4004,,"VCL/Sensor harness, near T/O to C4200F",,
EX1,S4005,,"Fuel tanks harness, near T/O to C4303F",,
EX1,S4006,,"Fuel tanks harness, near T/O to C4030M",,
EX1,S4007,,"Compuvalve harness, near T/O to C4303F",,
EX1,S4008,,"Compuvalve harness, near T/O to C4303F",,
EX1,S4009,,"Compuvalve harness, near T/O to C4303F",,
EX1,S401,,"Rear lamp connector harness, near T/O to C403F",,
EX1,S4010,,"Compuvalve harness, near T/O to C4303F",,
EX1,S4011,,"Dual tank harness, near T/O to C4303M",,
EX1,S4012,,"Dual tank harness, near T/O to front tank valve",,
EX1,S4013,,"Shutoff harness, near T/O to C4003M",,
EX1,S4014,,"Shutoff harness, near T/O to C4003M",,
EX1,S4015,,"Cold start harness, near T/O to cold start heater relay",,
EX1,S4016,,"Cold start harness, near T/O to C4031M",,
EX1,S4017,,"Compuvalve harness, near T/O to C4031M",,
EX1,S4018,,"VCL/Sensor harness, near T/O to C4201F",,
EX1,S4019,,"VCL/Sensor harness, near T/O to C4201F",,
EX1,S4020,,"VCL/Sensor harness, near T/O to C4202F",,
EX1,S4021,,"VCL/Sensor harness, near T/O to C4202F",,
EX1,S403,,"Rear lamp connector harness, near T/O to C403F",,
EX1,S405,,"In rear lamp harness, near T/O to C404 left stop/park/turn lamp",,
EX1,S409,,"Rear lamp harness, near T/O to fuel pump module",,
EX1,S410,,"Rear lamp harness, near T/O to fuel pump module",,
EX1,S411,,"Rear lamp harness, in T/O to C911 high mounted stoplamp",,
EX1,S500,,"Body main harness, near T/O to left power door lock switch",,
EX1,S501,,"Body main harness, near T/O to left door lock actuator",,
EX1,S503,,"Body main harness, near T/O to left power window motor",,
EX1,S600,,"Body main harness, near T/O to right power window switch",,
EX1,S601,,"Body main harness, near T/O to right power window switch",,
EX1,S602,,"Body main harness, near T/O to right power window switch",,
EX1,S911,,"Rear high mounted lamp harness, near T/O to in-line C416F",,
