EVTM,NAME,QUALIFIER,LOCATION,ITEMID_,SORT
EXU,S342,with daytime running lamps,"behind dash panel, LH-side",,
EXU,S342,,"behind dash panel, LH-side",,
EXU,S343,"without daytime running lamps, higher option content","behind dash panel, LH-side",,
EXU,S343,with daytime running lamps,"behind dash panel, LH-side",,
EXU,S343,,"behind dash panel, LH-side",,
EXU,S344,"without daytime running lamps, higher option content","behind dash panel, LH-side",,
EXU,S344,with daytime running lamps,"behind dash panel, LH-side",,
EXU,S344,,"behind dash panel, LH-side",,
EXU,S345,without auxiliary warning,"engine compartment, front, center",,
EXU,S346,without auxiliary warning,"engine compartment, front, center",,
EXU,S347,with bulb outage warning,"behind dash panel, LH-side",,
EXU,S347,without auxiliary warning,"engine compartment, front, center",,
EXU,S348,without auxiliary warning,"engine compartment, front, center",,
EXU,S349,front power windows,"LH A-pillar, bottom",,
EXU,S349,,"LH A-pillar, bottom",,
EXU,S350,with double locking,in passenger door,,
EXU,S350,front power windows,in passenger door,,
EXU,S350,,in passenger door,,
EXU,S351,with bulb outage warning,"behind dash panel, LH-side",,
EXU,S351,,"behind dash panel, LH-side",,
EXU,S352,"lower option content, without daytime running lamps","engine compartment, front, LH-side",,
EXU,S352,"without auxiliary warning, higher option content","engine compartment, front, LH-side",,
EXU,S352,without auxiliary warning,"engine compartment, front, LH-side",,
EXU,S352,,"engine compartment, front, LH-side",,
EXU,S353,"lower option content, without daytime running lamps","engine compartment, front, RH-side",,
EXU,S353,"without auxiliary warning, higher option content","engine compartment, front, RH-side",,
EXU,S353,without auxiliary warning,"engine compartment, front, RH-side",,
EXU,S353,with auxiliary warning,"engine compartment, front, RH-side",,
EXU,S353,,"engine compartment, front, RH-side",,
EXU,S354,manual transmission,"vehicle rear end, RH-side",,
EXU,S354,automatic transmission,"vehicle rear end, RH-side",,
EXU,S354,"lower option content, without daytime running lamps","vehicle rear end, RH-side",,
EXU,S354,lower option content,"vehicle rear end, RH-side",,
EXU,S354,with bulb outage warning,"vehicle rear end, RH-side",,
EXU,S354,higher option content,"vehicle rear end, RH-side",,
EXU,S354,"without auxiliary warning, higher option content","vehicle rear end, RH-side",,
EXU,S354,without auxiliary warning,"vehicle rear end, RH-side",,
EXU,S354,"with auxiliary warning, higher option content","vehicle rear end, RH-side",,
EXU,S354,with auxiliary warning,"vehicle rear end, RH-side",,
EXU,S354,Auxiliary warning,"vehicle rear end, RH-side",,
EXU,S354,,"vehicle rear end, RH-side",,
EXU,S355,manual transmission,"vehicle rear end, LH-side",,
EXU,S355,automatic transmission,"vehicle rear end, LH-side",,
EXU,S355,"lower option content, without daytime running lamps","vehicle rear end, LH-side",,
EXU,S355,lower option content,"vehicle rear end, LH-side",,
EXU,S355,with bulb outage warning,"vehicle rear end, LH-side",,
EXU,S355,higher option content,"vehicle rear end, LH-side",,
EXU,S355,"without auxiliary warning, higher option content","vehicle rear end, LH-side",,
EXU,S355,without auxiliary warning,"vehicle rear end, LH-side",,
EXU,S355,"with auxiliary warning, higher option content","vehicle rear end, LH-side",,
EXU,S355,with auxiliary warning,"vehicle rear end, LH-side",,
EXU,S355,Auxiliary warning,"vehicle rear end, LH-side",,
EXU,S355,,"vehicle rear end, LH-side",,
EXU,S356,seat height adjust only,under LH front seat,,
EXU,S356,8-way power seat,under LH front seat,,
EXU,S356,,under LH front seat,,
EXU,S357,Duratec-VE,"engine compartment, rear, RH-side",,
EXU,S357,ZETEC-VCT,"engine compartment, rear, RH-side",,
EXU,S358,lower option content,"behind dash panel, LH-side",,
